"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"POLSC 20","A","INTRODUCTION TO POLITICAL SCIENCE","3","M-TH 0800-0930(ONSITE)","CTC 103","BEATO, Beatriz","41","ENG","U","1","ALL SLOTS FOR POS STUDENTS.","S","P"
"POLSC 20","B","INTRODUCTION TO POLITICAL SCIENCE","3","M-TH 0930-1100(ONSITE)","CTC 103","TRINIDAD, GINO ANTONIO P.","41","ENG","U","2","ALL SLOTS FOR POS STUDENTS.","S","P"
"POLSC 20","B1","INTRODUCTION TO POLITICAL SCIENCE","3","M-TH 0930-1100(ONSITE)","CTC 303","QUIOGUE, Mariel","41","ENG","U","4","ALL SLOTS FOR POS STUDENTS.","S","P"
"POLSC 20","C","INTRODUCTION TO POLITICAL SCIENCE","3","M-TH 1100-1230(ONSITE)","CTC 103","BEATO, Beatriz","41","ENG","U","0","39 SLOT(S) FOR POS STUDENTS. 2 SLOT(S) FOR AB IS MAJORS.","S","P"
"POLSC 20","C1","INTRODUCTION TO POLITICAL SCIENCE","3","M-TH 1100-1230(ONSITE)","CTC 303","QUIOGUE, Mariel","41","ENG","U","-1","ALL SLOTS FOR POS STUDENTS.","S","P"
"POLSC 20","J","INTRODUCTION TO POLITICAL SCIENCE","3","T-F 0800-0930(ONSITE)","CTC 103","TRINIDAD, GINO ANTONIO P.","41","ENG","U","-1","ALL SLOTS FOR POS STUDENTS.","S","P"
"POLSC 30","K","HISTORY OF POLITICAL THEORY","3","T-F 0930-1100(ONSITE)","CTC 103","TAN, JEAN EMILY P.","34","ENG","U","3","ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB IS MAJORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"POLSC 30","L","HISTORY OF POLITICAL THEORY","3","T-F 1100-1230(ONSITE)","CTC 103","TAN, JEAN EMILY P.","28","ENG","U","-2","ALL SLOTS FOR AB Dip IR MAJORS.","S","P"
"POLSC 30","M","HISTORY OF POLITICAL THEORY","3","T-F 1230-1400(ONSITE)","CTC 103","ABAO, CARMEL V.","28","ENG","U","0","ALL SLOTS FOR AB Dip IR MAJORS.","S","P"
"POLSC 30","N","HISTORY OF POLITICAL THEORY","3","T-F 1400-1530(ONSITE)","CTC 103","ABAO, CARMEL V.","33","ENG","U","0","ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB IS MAJORS.","S","P"
"POLSC 30","N1","HISTORY OF POLITICAL THEORY","3","T-F 1400-1530(ONSITE)","CTC 303","AGUIRRE, ARJAN P.","33","ENG","U","-2","ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB IS MAJORS.","S","P"
"POLSC 110","E","COMPARATIVE POLITICS","3","M-TH 1400-1530(ONSITE)","CTC 103","LIM, MILLARD O.","33","ENG","U","-3","ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. ALL SLOTS FOR GLOBAL POLITICS MINORS. 2 SLOT(S) FOR MA STUDENTS.","S","P"
"POLSC 110","F","COMPARATIVE POLITICS","3","M-TH 1530-1700(ONSITE)","CTC 103","LIM, MILLARD O.","33","ENG","U","3","ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. ALL SLOTS FOR GLOBAL POLITICS MINORS.","S","P"
"POLSC 110","S","COMPARATIVE POLITICS","3","W 0900-1200(ONSITE)","CTC 303","MENDOZA, DIANA J.","33","ENG","U","-1","ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. ALL SLOTS FOR GLOBAL POLITICS MINORS.","S","P"
"POLSC 115.10","N","DEMOCRATIZATION AND THE DEVELOPING STATES","3","T-F 1400-1530(FULLY ONLINE)","TBA","QUIMPO, Nathan Gilbert","30","ENG","U","-2","ALL SLOTS FOR POS STUDENTS.","S","P"
"POLSC 120","M","FUNDAMENTALS OF PUBLIC MANAGEMENT","3","T-F 1230-1400(ONSITE)","CTC 303","VILLARIN, Tomasito","29","ENG","U","-1","ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. ALL SLOTS FOR AB IS MAJORS. ALL SLOTS FOR PUBLIC MANAGEMENT MINORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"POLSC 120","S","FUNDAMENTALS OF PUBLIC MANAGEMENT","3","W 0900-1200(ONSITE)","CTC 103","ROBREDO, Jessica Marie","28","ENG","U","1","ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. ALL SLOTS FOR AB IS MAJORS. ALL SLOTS FOR PUBLIC MANAGEMENT MINORS.","S","P"
"POLSC 120","U","FUNDAMENTALS OF PUBLIC MANAGEMENT","3","W 1500-1800(ONSITE)","CTC 103","ROBREDO, Jessica Marie","29","ENG","U","-2","ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. ALL SLOTS FOR AB IS MAJORS. ALL SLOTS FOR PUBLIC MANAGEMENT MINORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"POLSC 121.30","G","ENVIRONMENTAL POLICIES","3","M-TH 1700-1830(ONSITE)","CTC 303","DE TORRES, Alenz Avril","32","ENG","U","-1","ALL SLOTS FOR POS STUDENTS. 2 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"POLSC 124","O","PARTICIPATORY GOVERNANCE","3","T-F 1530-1700(ONSITE)","CTC 103","VILLARIN, Tomasito","31","ENG","U","-5","ALL SLOTS FOR POS STUDENTS. ALL SLOTS FOR PUBLIC MANAGEMENT MINORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"POLSC 130.30","O","KOREA - ASEAN RELATIONS","3","T-F 1530-1700(ONSITE)","CTC 303","QUINTANA, OLIVER JOHN C.","36","ENG","U","-1","ALL SLOTS FOR POS STUDENTS. ALL SLOTS FOR KOREAN STUDIES MINORS. 6 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"POLSC 130","C","INTERNATIONAL RELATIONS","3","M-TH 1100-1230(ONSITE)","SOM 202","VENERACION, MARIA LOURDES G.","33","ENG","U","-1","ALL SLOTS FOR POS STUDENTS. ALL SLOTS FOR AB EU MAJORS. ALL SLOTS FOR AB IS MAJORS. ALL SLOTS FOR GLOBAL POLITICS MINORS. 3 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"POLSC 130","D","INTERNATIONAL RELATIONS","3","M-TH 1230-1400(ONSITE)","CTC 103","VENERACION, MARIA LOURDES G.","33","ENG","U","2","ALL SLOTS FOR POS STUDENTS. ALL SLOTS FOR AB EU MAJORS. ALL SLOTS FOR AB IS MAJORS. ALL SLOTS FOR GLOBAL POLITICS MINORS. 3 SLOT(S) FOR CROSS REG-IXS MAJORS. 1 SLOT(S) FOR MA STUDENTS.","S","P"
"POLSC 130","E","INTERNATIONAL RELATIONS","3","M-TH 1400-1530(ONSITE)","CTC 303","QUINTANA, OLIVER JOHN C.","33","ENG","U","-1","ALL SLOTS FOR POS STUDENTS. ALL SLOTS FOR AB EU MAJORS. ALL SLOTS FOR AB IS MAJORS. ALL SLOTS FOR GLOBAL POLITICS MINORS. 3 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"POLSC 130","F","INTERNATIONAL RELATIONS","3","M-TH 1530-1700(ONSITE)","CTC 303","QUINTANA, OLIVER JOHN C.","33","ENG","U","1","ALL SLOTS FOR POS STUDENTS. ALL SLOTS FOR AB EU MAJORS. ALL SLOTS FOR AB IS MAJORS. ALL SLOTS FOR GLOBAL POLITICS MINORS. 3 SLOT(S) FOR CROSS REG-IXS MAJORS. 1 SLOT(S) FOR MA STUDENTS.","S","P"
"POLSC 130","N","INTERNATIONAL RELATIONS","3","T-F 1400-1530(ONSITE)","SOM 202","DELA CRUZ, Ma. Emille","33","ENG","U","10","ALL SLOTS FOR POS STUDENTS. ALL SLOTS FOR AB EU MAJORS. ALL SLOTS FOR AB IS MAJORS. ALL SLOTS FOR GLOBAL POLITICS MINORS. 3 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"POLSC 131","L","INTERNATIONAL POLITICAL ECONOMY","3","T-F 1100-1230(ONSITE)","CTC 303","DELA CRUZ, Ma. Emille","26","ENG","U","1","ALL SLOTS FOR AB EU MAJORS. ALL SLOTS FOR 4TH YEAR JTA AB Dip IR MAJORS. ALL SLOTS FOR 4TH YEAR JTA AB MA-POS MAJORS. ALL SLOTS FOR 4TH YEAR JTA AB POS MAJORS.","S","P"
"POLSC 132","G","INTERNATIONAL LAW","3","M-TH 1700-1830(ONSITE)","CTC 103","SUNGA, RICARDO III A.","30","ENG","U","0","ALL SLOTS FOR AB Dip IR MAJORS.","S","P"
"POLSC 132","H","INTERNATIONAL LAW","3","M-TH 1830-2000(ONSITE)","CTC 103","SUNGA, RICARDO III A.","30","ENG","U","10","ALL SLOTS FOR AB Dip IR MAJORS.","S","P"
"POLSC 134.10","G","INTERNATIONAL NEGOTIATION AND CONFLICT RESOLUTION","3","M-TH 1700-1830(ONSITE)","SOM 202","TIONLOC, JAVIER RICO ISRAEL R., YU, Jane","42","ENG","U","0","ALL SLOTS FOR AB Dip IR MAJORS. ALL SLOTS FOR AB IS MAJORS. 2 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"POLSC 134.10","H","INTERNATIONAL NEGOTIATION AND CONFLICT RESOLUTION","3","M-TH 1830-2000(ONSITE)","SOM 202","TIONLOC, JAVIER RICO ISRAEL R., YU, Jane","41","ENG","U","6","ALL SLOTS FOR AB Dip IR MAJORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"POLSC 136.10","W","ISSUES AND PROBLEMS IN DIPLOMACY AND CONSULAR PRACTICE","3","SAT 0900-1200(ONSITE)","CTC 103","PABELIÑA, Karla Mae","37","ENG","U","-4","ALL SLOTS FOR AB Dip IR MAJORS.","S","P"
